transaction_id,purchase_date,customer_id,gender,age,product_category,quantity,price_per_unit,order_value,phone_number,created_at
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,+6282187792052,2023-01-01
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,+6282187792052,2023-01-01
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,+6282187792052,2023-01-01
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,+6282187792052,2023-01-01
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,+6282187792052,2023-01-01
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,+6282187792052,2023-01-01
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,+6282187792052,2023-01-01
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,+6282187792052,2023-01-01
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,+6282187792052,2023-01-01
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,+6282187792052,2023-01-01
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,+6282187792052,2023-01-01
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,+6282187792052,2023-01-01
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,+6282187792052,2023-01-01
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,+6282187792052,2023-01-01
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,+6282187792052,2023-01-01
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,+6282187792052,2023-01-01
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,+6282187792052,2023-01-01
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,+6282187792052,2023-01-01
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,+6282187792052,2023-01-01
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,+6282187792052,2023-01-01
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,+6282187792052,2023-01-01
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,+6282187792052,2023-01-01
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,+6282187792052,2023-01-01
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,+6282187792052,2023-01-01
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,+6282187792052,2023-01-01
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,+6282187792052,2023-01-01
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,+6282187792052,2023-01-01
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,+6282187792052,2023-01-01
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,+6282187792052,2023-01-01
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,+6282187792052,2023-01-01
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,+6282187792052,2023-01-01
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,+6282187792052,2023-01-01
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,+6282187792052,2023-01-01
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,+6282187792052,2023-01-01
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,+6282187792052,2023-01-01
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,+6282187792052,2023-01-01
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,+6282187792052,2023-01-01
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,+6282187792052,2023-01-01
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,+6282187792052,2023-01-01
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,+6282187792052,2023-01-01
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,+6282187792052,2023-01-01
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,+6282187792052,2023-01-01
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,+6282187792052,2023-01-01
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,+6282187792052,2023-01-01
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,+6282187792052,2023-01-01
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,+6282187792052,2023-01-01
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,+6282187792052,2023-01-01
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,+6282187792052,2023-01-01
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,+6282187792052,2023-01-01
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,+6282187792052,2023-01-01
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,+6282187792052,2023-01-01
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,+6282187792052,2023-01-01
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,+6282187792052,2023-01-01
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,+6282187792052,2023-01-01
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,+6282187792052,2023-01-01
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,+6282187792052,2023-01-01
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,+6282187792052,2023-01-01
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,+6282187792052,2023-01-01
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,+6282187792052,2023-01-01
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,+6282187792052,2023-01-01
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,+6282187792052,2023-01-01
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,+6282187792052,2023-01-01
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,+6282187792052,2023-01-01
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,+6282187792052,2023-01-01
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,+6282187792052,2023-01-01
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,+6282187792052,2023-01-01
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,+6282187792052,2023-01-01
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,+6282187792052,2023-01-01
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,+6282187792052,2023-01-01
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,+6282187792052,2023-01-01
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,+6282187792052,2023-01-01
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,+6282187792052,2023-01-01
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,+6282187792052,2023-01-01
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,+6282187792052,2023-01-01
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,+6282187792052,2023-01-01
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,+6282187792052,2023-01-01
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,+6282187792052,2023-01-01
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,+6282187792052,2023-01-01
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,+6282187792052,2023-01-01
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,+6282187792052,2023-01-01
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,+6282187792052,2023-01-01
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,+6282187792052,2023-01-01
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,+6282187792052,2023-01-01
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,+6282187792052,2023-01-01
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,+6282187792052,2023-01-01
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,+6282187792052,2023-01-01
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,+6282187792052,2023-01-01
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,+6282187792052,2023-01-01
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,+6282187792052,2023-01-01
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,+6282187792052,2023-01-01
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,+6282187792052,2023-01-01
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,+6282187792052,2023-01-01
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,+6282187792052,2023-01-01
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,+6282187792052,2023-01-01
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,+6282187792052,2023-01-01
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,+6282187792052,2023-01-01
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,+6282187792052,2023-01-01
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,+6282187792052,2023-01-01
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,+6282187792052,2023-01-01
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,+6282187792052,2023-01-01
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,+6282187792052,2023-01-01
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,+6282187792052,2023-01-01
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,+6282187792052,2023-01-01
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,+6282187792052,2023-01-01
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,+6282187792052,2023-01-01
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,+6282187792052,2023-01-01
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,+6282187792052,2023-01-01
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,+6282187792052,2023-01-01
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,+6282187792052,2023-01-01
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,+6282187792052,2023-01-01
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,+6282187792052,2023-01-01
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,+6282187792052,2023-01-01
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,+6282187792052,2023-01-01
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,+6282187792052,2023-01-01
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,+6282187792052,2023-01-01
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,+6282187792052,2023-01-01
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,+6282187792052,2023-01-01
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,+6282187792052,2023-01-01
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,+6282187792052,2023-01-01
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,+6282187792052,2023-01-01
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,+6282187792052,2023-01-01
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,+6282187792052,2023-01-01
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,+6282187792052,2023-01-01
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,+6282187792052,2023-01-01
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,+6282187792052,2023-01-01
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,+6282187792052,2023-01-01
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,+6282187792052,2023-01-01
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,+6282187792052,2023-01-01
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,+6282187792052,2023-01-01
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,+6282187792052,2023-01-01
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,+6282187792052,2023-01-01
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,+6282187792052,2023-01-01
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,+6282187792052,2023-01-01
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,+6282187792052,2023-01-01
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,+6282187792052,2023-01-01
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,+6282187792052,2023-01-01
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,+6282187792052,2023-01-01
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,+6282187792052,2023-01-01
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,+6282187792052,2023-01-01
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,+6282187792052,2023-01-01
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,+6282187792052,2023-01-01
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,+6282187792052,2023-01-01
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,+6282187792052,2023-01-01
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,+6282187792052,2023-01-01
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,+6282187792052,2023-01-01
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,+6282187792052,2023-01-01
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,+6282187792052,2023-01-01
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,+6282187792052,2023-01-01
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,+6282187792052,2023-01-01
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,+6282187792052,2023-01-01
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,+6282187792052,2023-01-01
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,+6282187792052,2023-01-01
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,+6282187792052,2023-01-01
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,+6282187792052,2023-01-01
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,+6282187792052,2023-01-01
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,+6282187792052,2023-01-01
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,+6282187792052,2023-01-01
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,+6282187792052,2023-01-01
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,+6282187792052,2023-01-01
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,+6282187792052,2023-01-01
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,+6282187792052,2023-01-01
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,+6282187792052,2023-01-01
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,+6282187792052,2023-01-01
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,+6282187792052,2023-01-01
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,+6282187792052,2023-01-01
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,+6282187792052,2023-01-01
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,+6282187792052,2023-01-01
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,+6282187792052,2023-01-01
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,+6282187792052,2023-01-01
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,+6282187792052,2023-01-01
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,+6282187792052,2023-01-01
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,+6282187792052,2023-01-01
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,+6282187792052,2023-01-01
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,+6282187792052,2023-01-01
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,+6282187792052,2023-01-01
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,+6282187792052,2023-01-01
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,+6282187792052,2023-01-01
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,+6282187792052,2023-01-01
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,+6282187792052,2023-01-01
201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,+6282187792052,2023-01-01
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,+6282187792052,2023-01-01
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,+6282187792052,2023-01-01
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,+6282187792052,2023-01-01
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,+6282187792052,2023-01-01
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,+6282187792052,2023-01-01
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,+6282187792052,2023-01-01
208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,+6282187792052,2023-01-01
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,+6282187792052,2023-01-01
210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,+6282187792052,2023-01-01
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,+6282187792052,2023-01-01
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,+6282187792052,2023-01-01
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,+6282187792052,2023-01-01
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,+6282187792052,2023-01-01
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,+6282187792052,2023-01-01
216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,+6282187792052,2023-01-01
217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,+6282187792052,2023-01-01
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,+6282187792052,2023-01-01
219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,+6282187792052,2023-01-01
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,+6282187792052,2023-01-01
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,+6282187792052,2023-01-01
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,+6282187792052,2023-01-01
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,+6282187792052,2023-01-01
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,+6282187792052,2023-01-01
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,+6282187792052,2023-01-01
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,+6282187792052,2023-01-01
227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,+6282187792052,2023-01-01
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,+6282187792052,2023-01-01
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,+6282187792052,2023-01-01
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,+6282187792052,2023-01-01
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,+6282187792052,2023-01-01
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,+6282187792052,2023-01-01
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,+6282187792052,2023-01-01
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,+6282187792052,2023-01-01
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,+6282187792052,2023-01-01
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,+6282187792052,2023-01-01
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000,+6282187792052,2023-01-01
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,+6282187792052,2023-01-01
239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,+6282187792052,2023-01-01
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,+6282187792052,2023-01-01
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,+6282187792052,2023-01-01
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,+6282187792052,2023-01-01
243,2023-05-23,CUST243,Female,47,Electronics,3,300,900,+6282187792052,2023-01-01
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,+6282187792052,2023-01-01
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,+6282187792052,2023-01-01
246,2023-04-20,CUST246,Female,48,Electronics,2,25,50,+6282187792052,2023-01-01
247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,+6282187792052,2023-01-01
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,+6282187792052,2023-01-01
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,+6282187792052,2023-01-01
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,+6282187792052,2023-01-01
251,2023-08-31,CUST251,Female,57,Beauty,4,50,200,+6282187792052,2023-01-01
252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,+6282187792052,2023-01-01
253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,+6282187792052,2023-01-01
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,+6282187792052,2023-01-01
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,+6282187792052,2023-01-01
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,+6282187792052,2023-01-01
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,+6282187792052,2023-01-01
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,+6282187792052,2023-01-01
259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,+6282187792052,2023-01-01
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,+6282187792052,2023-01-01
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,+6282187792052,2023-01-01
262,2023-07-30,CUST262,Female,32,Beauty,4,30,120,+6282187792052,2023-01-01
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,+6282187792052,2023-01-01
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,+6282187792052,2023-01-01
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,+6282187792052,2023-01-01
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,+6282187792052,2023-01-01
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90,+6282187792052,2023-01-01
268,2023-02-20,CUST268,Female,28,Electronics,1,30,30,+6282187792052,2023-01-01
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,+6282187792052,2023-01-01
270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,+6282187792052,2023-01-01
271,2023-06-23,CUST271,Female,62,Beauty,4,30,120,+6282187792052,2023-01-01
272,2023-02-25,CUST272,Female,61,Electronics,2,50,100,+6282187792052,2023-01-01
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,+6282187792052,2023-01-01
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,+6282187792052,2023-01-01
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,+6282187792052,2023-01-01
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,+6282187792052,2023-01-01
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,+6282187792052,2023-01-01
278,2023-03-13,CUST278,Female,37,Clothing,4,25,100,+6282187792052,2023-01-01
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,+6282187792052,2023-01-01
280,2023-04-04,CUST280,Female,37,Clothing,3,500,1500,+6282187792052,2023-01-01
281,2023-05-23,CUST281,Female,29,Beauty,4,500,2000,+6282187792052,2023-01-01
282,2023-08-25,CUST282,Female,64,Electronics,4,50,200,+6282187792052,2023-01-01
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,+6282187792052,2023-01-01
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,+6282187792052,2023-01-01
285,2023-08-15,CUST285,Female,31,Electronics,1,25,25,+6282187792052,2023-01-01
286,2023-10-09,CUST286,Male,55,Electronics,2,25,50,+6282187792052,2023-01-01
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,+6282187792052,2023-01-01
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,+6282187792052,2023-01-01
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60,+6282187792052,2023-01-01
290,2023-10-04,CUST290,Female,30,Beauty,2,300,600,+6282187792052,2023-01-01
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,+6282187792052,2023-01-01
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,+6282187792052,2023-01-01
293,2023-05-02,CUST293,Male,50,Electronics,3,30,90,+6282187792052,2023-01-01
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,+6282187792052,2023-01-01
295,2023-07-28,CUST295,Female,27,Beauty,3,300,900,+6282187792052,2023-01-01
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,+6282187792052,2023-01-01
297,2023-09-04,CUST297,Female,40,Electronics,2,500,1000,+6282187792052,2023-01-01
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200,+6282187792052,2023-01-01
299,2023-07-25,CUST299,Male,61,Electronics,2,500,1000,+6282187792052,2023-01-01
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,+6282187792052,2023-01-01
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,+6282187792052,2023-01-01
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600,+6282187792052,2023-01-01
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,+6282187792052,2023-01-01
304,2023-07-19,CUST304,Female,37,Electronics,2,30,60,+6282187792052,2023-01-01
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,+6282187792052,2023-01-01
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50,+6282187792052,2023-01-01
307,2023-05-27,CUST307,Female,26,Electronics,2,25,50,+6282187792052,2023-01-01
308,2023-08-05,CUST308,Female,34,Beauty,4,300,1200,+6282187792052,2023-01-01
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25,+6282187792052,2023-01-01
310,2023-10-12,CUST310,Female,28,Beauty,1,25,25,+6282187792052,2023-01-01
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100,+6282187792052,2023-01-01
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,+6282187792052,2023-01-01
313,2023-03-21,CUST313,Female,55,Beauty,3,500,1500,+6282187792052,2023-01-01
314,2023-04-08,CUST314,Male,52,Clothing,4,30,120,+6282187792052,2023-01-01
